HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
Ukriane 1009546724.hashtags 14.87132352941176474227  .04411764705882352941  .00296662546353522867  3 68 84 28315
UkraineInvasion 1009546724.hashtags 13.01240808823529414949  .01470588235294117647  .00113014303372770616  1 68 32 28315
SlavaUkraini 1009546724.hashtags 30.46807747489239600475  .04411764705882352941  .00144799576196362352  3 68 41 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
StopRussia 1009546724.hashtags 16.32929642445213385732  .02941176470588235294  .00180116546000353169  2 68 51 28315
UkraineRussianWar 1009546724.hashtags 17.11220789685737311150  .04411764705882352941  .00257813879569132968  3 68 73 28315
Irpen 1009546724.hashtags 59.48529411764705957066  .01470588235294117647  .00024721878862793572  1 68 7 28315
UkraineUnderAttaсk 1009546724.hashtags 83.27941176470588255676  .05882352941176470588  .00070633939607981635  4 68 20 28315
UkraineRussianWar 1009546724.hashtags 17.11220789685737311150  .04411764705882352941  .00257813879569132968  3 68 73 28315
StopPutinNOW 1009546724.hashtags 14.35851926977687626784  .01470588235294117647  .00102419212431573371  1 68 29 28315
Moscow 1009546724.hashtags 7.71105664488017433102  .01470588235294117647  .00190711636941550414  1 68 54 28315
UkraineUnderAttaсk 1009546724.hashtags 83.27941176470588255676  .05882352941176470588  .00070633939607981635  4 68 20 28315
UkraineRussianWar 1009546724.hashtags 17.11220789685737311150  .04411764705882352941  .00257813879569132968  3 68 73 28315
StopPutinsWar 1009546724.hashtags 26.02481617647058829898  .01470588235294117647  .00056507151686385308  1 68 16 28315
OpRussian 1009546724.hashtags 416.39705882352950121095  .01470588235294117647  .00003531696980399081  1 68 1 28315
NoWarInUkraine 1009546724.hashtags 83.27941176470588609385  .01470588235294117647  .00017658484901995408  1 68 5 28315
PutinsWar 1009546724.hashtags 18.10421994884910495936  .02941176470588235294  .00162458061098357760  2 68 46 28315
StandWithUkraine 1009546724.hashtags 1.16965465961665565109  .01470588235294117647  .01257284125022073106  1 68 356 28315
Kharkiv 1009546724.hashtags 9.53581050740907050630  .04411764705882352941  .00462652304432279710  3 68 131 28315
SlavaUkraini 1009546724.hashtags 30.46807747489239600475  .04411764705882352941  .00144799576196362352  3 68 41 28315
slavaukraini 1009546724.hashtags 208.19852941176472112977  .01470588235294117647  .00007063393960798163  1 68 2 28315
Kyiv 1009546724.hashtags 3.63136969904240766065  .04411764705882352941  .01214903761257284125  3 68 344 28315
PutinIsaWarCriminal 1009546724.hashtags 41.63970588235294147488  .04411764705882352941  .00105950909411972452  3 68 30 28315
FCKPTN 1009546724.hashtags 166.55882352941177218770  .02941176470588235294  .00017658484901995408  2 68 5 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Anonymous 1009546724.hashtags 10.76888945233265720088  .04411764705882352941  .00409676849726293484  3 68 116 28315
Kharkiv 1009546724.hashtags 9.53581050740907050630  .04411764705882352941  .00462652304432279710  3 68 131 28315
StandWithUkriane 1009546724.hashtags 16.65588235294117655851  .02941176470588235294  .00176584849019954087  2 68 50 28315
UkraineUnderAttaсk 1009546724.hashtags 83.27941176470588255676  .05882352941176470588  .00070633939607981635  4 68 20 28315
StandWithUkriane 1009546724.hashtags 16.65588235294117655851  .02941176470588235294  .00176584849019954087  2 68 50 28315
UkraineUnderAttaсk 1009546724.hashtags 83.27941176470588255676  .05882352941176470588  .00070633939607981635  4 68 20 28315
SlavaUkraini 1009546724.hashtags 30.46807747489239600475  .04411764705882352941  .00144799576196362352  3 68 41 28315
FreeUkraine 1009546724.hashtags 64.06108597285067993629  .02941176470588235294  .00045912060745188062  2 68 13 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Mariupol 1009546724.hashtags 4.24894957983193277327  .04411764705882352941  .01038318912237330037  3 68 294 28315
FCKPTN 1009546724.hashtags 166.55882352941177218770  .02941176470588235294  .00017658484901995408  2 68 5 28315
FreeUkraine 1009546724.hashtags 64.06108597285067993629  .02941176470588235294  .00045912060745188062  2 68 13 28315
Mariupol 1009546724.hashtags 4.24894957983193277327  .04411764705882352941  .01038318912237330037  3 68 294 28315
Anonymous 1009546724.hashtags 10.76888945233265720088  .04411764705882352941  .00409676849726293484  3 68 116 28315
Bucha 1009546724.hashtags 11.46046950890447924348  .04411764705882352941  .00384954970863499911  3 68 109 28315
Bucha 1009546724.hashtags 11.46046950890447924348  .04411764705882352941  .00384954970863499911  3 68 109 28315
AAAAAAPutin 1009546724.hashtags 208.19852941176472112977  .01470588235294117647  .00007063393960798163  1 68 2 28315
Kyiv 1009546724.hashtags 3.63136969904240766065  .04411764705882352941  .01214903761257284125  3 68 344 28315
Vorzel 1009546724.hashtags 208.19852941176472112977  .01470588235294117647  .00007063393960798163  1 68 2 28315
Anonymous 1009546724.hashtags 10.76888945233265720088  .04411764705882352941  .00409676849726293484  3 68 116 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
Kramatorsk 1009546724.hashtags 26.02481617647058829898  .01470588235294117647  .00056507151686385308  1 68 16 28315
FckPutin 1009546724.hashtags 156.14889705882352979393  .04411764705882352941  .00028253575843192654  3 68 8 28315
PutinIsaWarCriminal 1009546724.hashtags 41.63970588235294147488  .04411764705882352941  .00105950909411972452  3 68 30 28315
FckPutin 1009546724.hashtags 156.14889705882352979393  .04411764705882352941  .00028253575843192654  3 68 8 28315
PutinIsaWarCriminal 1009546724.hashtags 41.63970588235294147488  .04411764705882352941  .00105950909411972452  3 68 30 28315
Kherson 1009546724.hashtags 4.89878892733564014631  .01470588235294117647  .00300194243333921949  1 68 85 28315
Mariupol 1009546724.hashtags 4.24894957983193277327  .04411764705882352941  .01038318912237330037  3 68 294 28315
Kyiv 1009546724.hashtags 3.63136969904240766065  .04411764705882352941  .01214903761257284125  3 68 344 28315
UkraineRussiaWar 1009546724.hashtags 3.68492972410203019931  .01470588235294117647  .00399081758785096238  1 68 113 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
